CANVAS_SIZE: 1600x1600
ID | Points (P1, P2, P3, P4)
--------------------------------------------------
Cell 124: (227.13, 159.12), (397.74, 168.05), (327.48, 92.24), (218.69, 96.89)
Cell 125: (0.00, 95.64), (327.48, 92.24), (309.22, 78.48), (0.00, 57.66)
Cell 126: (0.00, 57.66), (309.22, 78.48), (238.49, 0.00), (0.00, 0.00)
Cell 127: (397.74, 168.05), (524.24, 174.30), (577.50, 112.51), (348.58, 118.81)
Cell 128: (524.24, 174.30), (700.12, 186.61), (717.48, 107.25), (577.50, 112.51)
Cell 129: (700.12, 186.61), (854.37, 198.48), (873.04, 103.08), (717.48, 107.25)
Cell 130: (348.58, 118.81), (485.61, 111.35), (410.38, 36.52), (279.26, 43.57)
Cell 131: (485.61, 111.35), (593.50, 108.73), (616.48, 29.39), (410.38, 36.52)
Cell 132: (279.26, 43.57), (616.48, 29.39), (621.10, 0.00), (238.49, 0.00)
Cell 133: (593.50, 108.73), (873.04, 103.08), (883.70, 46.50), (607.96, 62.15)
Cell 134: (607.96, 62.15), (883.70, 46.50), (894.31, 0.00), (621.10, 0.00)
Cell 135: (815.37, 431.58), (1068.76, 433.04), (1157.85, 366.95), (827.90, 360.93)
Cell 136: (1068.76, 433.04), (1203.83, 436.75), (1237.50, 371.96), (1157.85, 366.95)
Cell 137: (827.90, 360.93), (1082.21, 365.13), (1101.67, 348.78), (835.33, 330.97)
Cell 138: (835.33, 330.97), (1101.67, 348.78), (1188.22, 287.32), (843.57, 273.82)
Cell 139: (1082.21, 365.13), (1237.50, 371.96), (1277.35, 291.10), (1188.22, 287.32)
Cell 140: (1203.83, 436.75), (1462.47, 438.27), (1411.00, 372.92), (1239.43, 364.76)
Cell 141: (1462.47, 438.27), (1600.00, 437.19), (1600.00, 377.69), (1411.00, 372.92)
Cell 142: (1239.43, 364.76), (1432.40, 371.26), (1447.72, 298.40), (1277.35, 291.10)
Cell 143: (1432.40, 371.26), (1600.00, 377.69), (1600.00, 307.38), (1447.72, 298.40)
Cell 144: (843.57, 273.82), (1071.96, 284.41), (1099.03, 249.29), (850.09, 230.66)
Cell 145: (850.09, 230.66), (1099.03, 249.29), (1158.72, 180.67), (860.21, 183.50)
Cell 146: (1071.96, 284.41), (1328.17, 294.96), (1398.04, 225.74), (1122.65, 221.26)
Cell 147: (1122.65, 221.26), (1398.04, 225.74), (1450.85, 179.93), (1158.72, 180.67)
Cell 148: (1328.17, 294.96), (1600.00, 307.38), (1600.00, 246.20), (1374.00, 247.53)
Cell 149: (1374.00, 247.53), (1600.00, 246.20), (1600.00, 175.13), (1450.85, 179.93)
Cell 150: (860.21, 183.50), (1010.01, 184.97), (953.59, 105.40), (876.03, 111.33)
Cell 151: (1010.01, 184.97), (1206.06, 182.20), (1223.29, 152.55), (990.35, 154.06)
Cell 152: (990.35, 154.06), (1223.29, 152.55), (1264.20, 81.96), (953.59, 105.40)
Cell 153: (876.03, 111.33), (1264.20, 81.96), (1277.89, 58.24), (881.45, 73.78)
Cell 154: (881.45, 73.78), (1104.82, 65.72), (1094.68, 0.00), (894.31, 0.00)
Cell 155: (1104.82, 65.72), (1277.89, 58.24), (1314.79, 0.00), (1094.68, 0.00)
Cell 156: (1206.06, 182.20), (1393.87, 176.06), (1439.99, 89.78), (1272.93, 72.39)
Cell 157: (1393.87, 176.06), (1600.00, 175.13), (1600.00, 107.88), (1439.99, 89.78)
Cell 158: (1272.93, 72.39), (1600.00, 107.88), (1600.00, 35.25), (1301.78, 24.49)
Cell 159: (1301.78, 24.49), (1600.00, 35.25), (1600.00, 0.00), (1314.79, 0.00)
Cell 160: (0.00, 950.00), (153.88, 950.41), (149.28, 859.90), (0.00, 861.11)
Cell 161: (153.88, 950.41), (261.86, 951.42), (216.12, 862.16), (149.28, 859.90)
Cell 162: (261.86, 951.42), (500.00, 950.00), (500.00, 922.90), (236.27, 901.79)
Cell 163: (236.27, 901.79), (500.00, 922.90), (500.00, 861.67), (216.12, 862.16)
Cell 164: (0.00, 861.11), (203.49, 862.85), (100.57, 752.71), (0.00, 742.08)
Cell 165: (203.49, 862.85), (390.19, 859.41), (291.65, 766.80), (100.57, 752.71)
Cell 166: (390.19, 859.41), (500.00, 861.67), (500.00, 781.62), (291.65, 766.80)
Cell 167: (0.00, 742.08), (304.38, 769.04), (299.98, 738.96), (0.00, 709.09)
Cell 168: (0.00, 709.09), (94.01, 716.69), (57.81, 648.31), (0.00, 650.00)
Cell 169: (94.01, 716.69), (299.98, 738.96), (261.52, 650.49), (57.81, 648.31)
Cell 170: (304.38, 769.04), (425.78, 773.76), (445.40, 647.28), (261.52, 650.49)
